Selection,View,Channel,Begin Time (s),End Time (s),Delta Time (s),Low Freq (Hz),High Freq (Hz),Begin Path,File Offset (s),Begin File,Agg Entropy (bits),Avg Amp (U),Avg Entropy (bits),Avg Power Density (dB FS/Hz),BW 50% (Hz),BW 90% (Hz),Begin Clock Time,Begin Date,Begin Date Time,Beg File Samp (samples),Begin Hour,Begin Sample (samples),Center Freq (Hz),Center Time (s),Center Time Rel.,Delta Freq (Hz),Delta Power (dB/Hz),Dur 50% (s),Dur 90% (s),End Clock Time,End Date,End File,End File Samp (samples),End Path,End Sample (samples),Energy (dB FS),F-RMS Amp (U),Freq 25% (Hz),Freq 5% (Hz),Freq 75% (Hz),Freq 95% (Hz),Freq Contour  5% (Hz),Freq Contour 25% (Hz),Freq Contour 50% (Hz),Freq Contour 75% (Hz),Freq Contour 95% (Hz),Inband Power (dB FS),Length (frames),Leq (dB FS),Max Amp (U),Max Bearing (deg),Max Entropy (bits),Max Freq (Hz),Max Time (s),Min Amp (U),Min Entropy (bits),Min Time (s),Peak Amp (U),Peak Corr (U),Peak Freq (Hz),Peak Freq Contour (Hz),PFC Avg Slope (Hz/ms),PFC Max Freq (Hz),PFC Max Slope (Hz/ms),PFC Min Freq (Hz),PFC Min Slope (Hz/ms),PFC Num Inf Pts,PFC Slope (Hz/ms),Peak Lag (s),Peak Power Density (dB FS/Hz),Peak Time (s),Peak Time Relative,RMS Amp (U),SEL (dB FS),SNR NIST Quick (dB),Sample Length (samples),Time 25% (s),Time 25% Rel.,Time 5% (s),Time 5% Rel.,Time 75% (s),Time 75% Rel.,Time 95% (s),Time 95% Rel.,Class,Sound type,Software,Confidence,x_m,y_m,z_m,x_err_low_m,x_err_high_m,x_err_span_m,y_err_low_m,y_err_high_m,y_err_span_m,z_err_low_m,z_err_high_m,z_err_span_m,tdoa_sec,tdoa_errors_std_sec,best_freq_band_hz,corr_val,selec.file,s,t,n,source_selection_file,a,Edits
612,Spectrogram 1,1,33.51,33.55,0.04,382.812,578.125,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220813T010710Z.wav,33.51,AMAR173.4.20220813T010710Z.wav,2.451,,2.451,-63.22,7.812,54.688,1:07:43.5100,2022/8/13,2022/8/13  1:07:43.5100,1072320.0,1.0,1072320.0,437.5,33.536,,195.312,,0.0,0.0,1:07:43.5500,2022/8/13,AMAR173.4.20220813T010710Z.wav,1073600.0,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220813T010710Z.wav,1073600.0,-18.964,,429.688,421.875,437.5,476.562,,,,,,-49.07,1.0,,,,2.451,429.688,33.536,,2.451,,,,429.688,,,0.0,0.0,179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0.0,,,-53.74,33.536,,,,15.54,1281.0,33.536,,33.536,,33.536,,33.536,,,,BlobDetector,0.0,-0.219999999999998,0.100000000000003,-0.619999999999999,-0.699999999999998,0.240000000000003,0.940000000000001,-0.379999999999998,0.520000000000003,0.900000000000001,-1.1,-0.0599999999999987,1.04,[ 6.310e-04  5.790e-04  2.490e-04 -6.900e-05  1.373e-03],0.0003907888916031,"[382.8125, 578.125]",[0.93514182 0.94289759 0.57906249 0.98069334 0.93755024],AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.txt,,,,AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt,,
626,Spectrogram 1,1,1718.55,1718.7,0.15,0.0,835.938,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220813T010710Z.wav,1718.55,AMAR173.4.20220813T010710Z.wav,5.194,,4.007,-59.17,234.375,367.188,1:35:48.5500,2022/8/13,2022/8/13  1:35:48.5500,54993600.0,1.0,54993600.0,210.938,1718.624,0.5,835.938,,0.032,0.128,1:35:48.7000,2022/8/13,AMAR173.4.20220813T010710Z.wav,54998400.0,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220813T010710Z.wav,54998400.0,-1.745,,109.375,93.75,343.75,460.938,93.750;93.750;93.750;101.562;70.312,101.562;109.375;171.875;187.500;101.562,109.375;226.562;281.250;296.875;101.562,109.375;351.562;375.000;367.188;148.438,195.312;468.750;476.562;468.750;320.312,-38.84,5.0,,,,5.508,109.375,1718.56,,2.558,,,,109.375,109.375;101.562;101.562;109.375;101.562,-0.061,109.375,0.244,101.562,-0.244,2.0,-0.244;0.000;0.244;-0.244,,-45.46,1718.56,0.0,,,30.46,4801.0,1718.624,0.5,1718.56,0.0,1718.656,0.75,1718.688,1.0,,,BlobDetector,0.0,-0.339999999999998,-0.899999999999998,-1.08,-0.339999999999998,-0.319999999999998,0.02,-0.899999999999998,-0.879999999999998,0.02,-1.08,-1.06,0.02,[-5.68e-04  9.60e-05 -1.40e-04  2.70e-04  8.48e-04],9.3575251636031e-06,"[208.984375, 417.96875]",[0.97766329 0.97168813 0.94039679 0.91260952 0.91086183],AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.txt,f,d,,AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt,,
921,Spectrogram 1,1,99.18,99.24,0.06,23.438,85.938,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220813T010710Z.wav,99.18,AMAR173.4.20220813T010710Z.wav,2.445,,2.179,-74.76,7.812,46.875,1:08:49.1800,2022/8/13,2022/8/13  1:08:49.1800,3173760.0,1.0,3173760.0,70.312,99.232,1.0,62.5,,0.0,0.032,1:08:49.2400,2022/8/13,AMAR173.4.20220813T010710Z.wav,3175680.0,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220813T010710Z.wav,3175680.0,-32.1,,70.312,39.062,78.125,85.938,31.250;39.062,70.312;62.500,78.125;70.312,78.125;78.125,78.125;85.938,-65.21,2.0,,,,2.543,78.125,99.232,,1.816,,,,78.125,78.125;78.125,0.0,78.125,0.0,78.125,0.000,0.0,0.000,,-68.49,99.232,1.0,,,15.07,1921.0,99.232,1.0,99.2,0.0,99.232,1.0,99.232,1.0,,,BlobDetector,0.0,0.320000000000003,-0.0399999999999974,-1.5,0.120000000000003,0.560000000000003,0.44,-0.239999999999998,0.200000000000003,0.44,-1.5,-1.36,0.14,[ 0.        0.000412 -0.000254  0.        0.000346],0.0001456408395499,"[23.4375, 85.9375]",[0.84884167 0.6428394  0.54828195 0.90236604 0.88306565],AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.txt,,,,AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt,,
1191,Spectrogram 1,1,261.16,261.26,0.1,320.312,843.75,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220813T010710Z.wav,261.16,AMAR173.4.20220813T010710Z.wav,5.682,,5.543,-81.84,250.0,429.688,1:11:31.1600,2022/8/13,2022/8/13  1:11:31.1600,8357120.0,1.0,8357121.0,546.875,261.248,1.0,523.438,,0.032,0.064,1:11:31.2600,2022/8/13,AMAR173.4.20220813T010710Z.wav,8360320.0,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220813T010710Z.wav,8360320.0,-28.636,,437.5,359.375,687.5,789.062,367.188;335.938;367.188,468.750;453.125;429.688,625.000;546.875;523.438,710.938;687.500;687.500,820.312;773.438;765.625,-63.51,3.0,,,,5.716,695.312,261.248,,5.417,,,,695.312,687.500;695.312;695.312,0.122,695.312,0.244,687.500,0.000,0.0,0.244;0.000,,-73.58,261.248,1.0,,,11.04,3200.0,261.216,0.5,261.184,0.0,261.248,1.0,261.248,1.0,,,BlobDetector,0.0,-0.639999999999998,-0.359999999999998,0.100000000000001,-0.779999999999998,-0.439999999999998,0.34,-0.519999999999998,-0.179999999999997,0.34,-0.179999999999999,0.340000000000002,0.52,[0.       0.       0.000733 0.000561 0.000633],0.0001420649212002,"[582.03125, 843.75]",[0.99798037 0.89956208 0.69008289 0.73926641 0.70267615],AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.txt,,,,AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt,,
1625,Spectrogram 1,1,1722.44,1722.53,0.09,234.375,492.188,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220813T010710Z.wav,1722.44,AMAR173.4.20220813T010710Z.wav,3.905,,3.652,-73.18,70.312,132.812,1:35:52.4400,2022/8/13,2022/8/13  1:35:52.4400,55118080.0,1.0,55118080.0,281.25,1722.496,0.5,257.812,,0.032,0.064,1:35:52.5300,2022/8/13,AMAR173.4.20220813T010710Z.wav,55120960.0,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220813T010710Z.wav,55120960.0,-22.994,,250.0,234.375,320.312,367.188,234.375;242.188,242.188;250.000,265.625;281.250,312.500;320.312,367.188;367.188,-57.87,3.0,,,,3.898,250.0,1722.528,,3.374,,,,250.0,242.188;250.000,0.244,250.0,0.244,242.188,0.244,0.0,0.244,,-64.14,1722.528,1.0,,,19.59,2881.0,1722.496,0.5,1722.464,0.0,1722.528,1.0,1722.528,1.0,,,BlobDetector,0.0,-0.599999999999998,0.600000000000003,-1.5,-0.839999999999998,-0.119999999999997,0.720000000000001,0.400000000000003,0.920000000000003,0.52,-1.5,-1.2,0.3,[ 8.70e-05  2.14e-04  1.90e-04 -6.01e-04  5.30e-04],0.0001531562256311,"[234.375, 492.1875]",[0.81643523 0.87825705 0.77673411 0.82757421 0.54222402],AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.txt,,,,AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt,,
1718,Spectrogram 1,1,450.23,450.41,0.18,62.5,2007.812,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220813T010710Z.wav,450.23,AMAR173.4.20220813T010710Z.wav,7.1,,5.836,-71.7,781.25,1671.875,1:14:40.2300,2022/8/13,2022/8/13  1:14:40.2300,14407360.0,1.0,14407360.0,414.062,450.368,0.8,1945.312,,0.032,0.16,1:14:40.4100,2022/8/13,AMAR173.4.20220813T010710Z.wav,14413120.0,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220813T010710Z.wav,14413120.0,-9.841,,218.75,101.562,1000.0,1773.438,85.938;93.750;101.562;101.562;156.250;101.562,109.375;109.375;109.375;117.188;367.188;242.188,117.188;156.250;132.812;226.562;671.875;414.062,203.125;281.250;203.125;656.250;1375.000;1007.812,882.812;1515.625;640.625;1718.750;1804.688;1765.625,-47.73,6.0,,,,7.215,109.375,450.304,,4.676,,,,109.375,109.375;109.375;109.375;109.375;375.000;125.000,0.098,375.0,8.301,109.375,-7.812,1.0,0.000;0.000;0.000;8.301;-7.812,,-58.49,450.304,0.4,,,21.31,5761.0,450.336,0.6,450.24,0.0,450.368,0.8,450.4,1.0,,,BlobDetector,0.0,-0.799999999999998,0.900000000000003,-0.519999999999999,-0.899999999999998,-0.679999999999998,0.22,0.660000000000003,1.02,0.36,-0.619999999999999,-0.419999999999999,0.2,[ 0.000348  0.000382  0.000666 -0.000799  0.000477],5.53101314789057e-05,"[1035.15625, 1521.484375]",[0.72670189 0.7825881  0.83869494 0.65556855 0.71989738],AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.txt,,,,AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt,,
1810,Spectrogram 1,1,177.93,178.06,0.13,210.938,1765.625,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220813T010710Z.wav,177.93,AMAR173.4.20220813T010710Z.wav,6.924,,6.451,-79.85,609.375,1304.688,1:10:07.9300,2022/8/13,2022/8/13  1:10:07.9300,5693760.0,1.0,5693760.0,648.438,178.016,0.6667,1554.688,,0.0,0.096,1:10:08.0600,2022/8/13,AMAR173.4.20220813T010710Z.wav,5697920.0,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220813T010710Z.wav,5697920.0,-20.72,,398.438,250.0,1007.812,1554.688,226.562;257.812;257.812,296.875;445.312;359.375,460.938;695.312;726.562,789.062;1007.812;1046.875,1523.438;1554.688;1554.688,-56.84,4.0,,,,6.814,257.812,178.016,,5.602,,,,257.812,226.562;257.812;257.812,0.488,257.812,0.977,226.562,0.000,0.0,0.977;0.000,,-68.26,178.016,0.6667,,,16.48,4161.0,178.016,0.6667,177.952,0.0,178.016,0.6667,178.048,1.0,,,BlobDetector,0.0,-0.839999999999998,0.960000000000004,-0.359999999999999,-0.939999999999998,-0.699999999999998,0.24,0.800000000000003,1.08,0.28,-0.439999999999999,-0.259999999999999,0.18,[ 0.000401  0.000362  0.000719 -0.000703  0.000442],5.76814906049805e-05,"[988.28125, 1376.953125]",[0.6566338  0.79777199 0.81756797 0.71243517 0.72998673],AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.txt,,,,AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt,,
1829,Spectrogram 1,1,1025.98,1026.02,0.04,296.875,390.625,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220813T010710Z.wav,1025.98,AMAR173.4.20220813T010710Z.wav,3.391,,3.322,-75.1,62.5,78.125,1:24:15.9800,2022/8/13,2022/8/13  1:24:15.9800,32831360.0,1.0,32831360.0,335.938,1026.016,1.0,93.75,,0.032,0.032,1:24:16.0200,2022/8/13,AMAR173.4.20220813T010710Z.wav,32832640.0,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220813T010710Z.wav,32832640.0,-30.848,,312.5,304.688,375.0,382.812,304.688,312.500,335.938,375.000,382.812,-63.96,2.0,,,,3.411,312.5,1026.016,,3.234,,,,312.5,312.500,,312.5,0.0,312.500,179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0.0,,,-69.45,1026.016,1.0,,,8.26,1281.0,1025.984,0.0,1025.984,0.0,1026.016,1.0,1026.016,1.0,,,BlobDetector,0.0,-0.159999999999997,-0.119999999999997,-0.639999999999999,-1.12,0.800000000000003,1.92,-1.1,0.840000000000003,1.94,-1.34,0.220000000000002,1.56,[ 5.970e-04  4.710e-04  5.000e-05 -1.100e-05  1.731e-03],0.0005499927749938,"[296.875, 390.625]",[0.81568766 0.87401578 0.66114291 0.86690762 0.74593549],AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.txt,,,,AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt,,
1920,Spectrogram 1,1,831.98,832.11,0.13,281.25,2007.812,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220813T010710Z.wav,831.98,AMAR173.4.20220813T010710Z.wav,7.119,,6.855,-76.04,1101.562,1578.125,1:21:01.9800,2022/8/13,2022/8/13  1:21:01.9800,26623360.0,1.0,26623360.0,898.438,832.064,0.6667,1726.562,,0.0,0.096,1:21:02.1100,2022/8/13,AMAR173.4.20220813T010710Z.wav,26627520.0,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220813T010710Z.wav,26627520.0,-16.454,,476.562,296.875,1578.125,1875.0,296.875;296.875;296.875,351.562;484.375;460.938,648.438;906.250;929.688,1359.375;1585.938;1585.938,1875.000;1875.000;1859.375,-52.58,4.0,,,,6.952,1578.125,832.064,,6.758,,,,1578.125,320.312;1578.125;351.562,0.488,1578.125,39.307,320.312,-38.330,1.0,39.307;-38.330,,-64.56,832.064,0.6667,,,14.18,4161.0,832.064,0.6667,832.0,0.0,832.064,0.6667,832.096,1.0,,,BlobDetector,0.0,-0.899999999999998,0.240000000000003,0.0400000000000014,-0.939999999999998,-0.819999999999998,0.12,0.180000000000003,0.300000000000003,0.12,-0.0399999999999987,0.120000000000001,0.16,[ 3.06e-04  1.13e-04  8.46e-04 -4.30e-05  7.55e-04],5.40158579242457e-05,"[1576.171875, 2007.8125]",[0.52542162 0.67783201 0.80755033 0.51896496 0.55350663],AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.txt,,,,AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt,,
2002,Spectrogram 1,1,1496.8,1497.03,0.23,125.0,2007.812,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220813T010710Z.wav,1496.8,AMAR173.4.20220813T010710Z.wav,6.682,,5.694,-63.15,976.562,1742.188,1:32:06.8000,2022/8/13,2022/8/13  1:32:06.8000,47897600.0,1.0,47897600.0,445.312,1496.928,0.5,1882.812,,0.064,0.192,1:32:07.0300,2022/8/13,AMAR173.4.20220813T010710Z.wav,47904960.0,D:\Bamfield_2022_Large_Array\TI20220812_Taylor_Islet\AMAR\AMAR173.4.32000.M36-V35-100\AMAR173.4.20220813T010710Z.wav,47904960.0,-0.758,,203.125,125.0,1179.688,1867.188,125.000;125.000;125.000;250.000;195.312;125.000;125.000,132.812;140.625;203.125;382.812;296.875;195.312;125.000,203.125;203.125;406.250;750.000;578.125;242.188;203.125,476.562;484.375;960.938;1695.312;1492.188;601.562;554.688,1648.438;1640.625;1867.188;1953.125;1851.562;1687.500;1695.312,-39.31,7.0,,,,7.188,125.0,1496.832,,4.363,,,,125.0,125.000;203.125;203.125;203.125;203.125;203.125;125.000,0.0,203.125,2.441,125.000,-2.441,1.0,2.441;0.000;0.000;0.000;0.000;-2.441,,-46.39,1496.832,0.0,,,15.28,7361.0,1496.896,0.3333,1496.832,0.0,1496.96,0.6667,1497.024,1.0,,,BlobDetector,0.0,-0.419999999999998,0.700000000000003,-0.579999999999999,-0.639999999999998,-0.199999999999998,0.44,0.420000000000003,0.920000000000003,0.5,-0.859999999999999,-0.259999999999999,0.600000000000001,[ 0.000642  0.000605  0.000569 -0.000483  0.000746],0.0001860605116959,"[595.703125, 1066.40625]",[0.77163425 0.69496533 0.74587038 0.73623703 0.7033141 ],AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.txt,,,,AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt,,
