uuid,time_min_offset,time_max_offset,x,y,z,confidence,Begin File,Begin Time (s),End Time (s),Begin Date Time,Class,Sound type,Confidence,x_m,y_m,z_m,x_err_low_m,x_err_high_m,x_err_span_m,y_err_low_m,y_err_high_m,y_err_span_m,z_err_low_m,z_err_high_m,z_err_span_m,Energy (dB FS),SNR NIST Quick (dB),source_selection_file
AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt:612,33.510000000,33.550000000,-0.219999999999998,0.100000000000003,-0.619999999999999,0,AMAR173.4.20220813T010710Z.wav,33.510000000,33.550000000,2022/8/13  1:07:43.5100,NA,NA,0,-0.219999999999998,0.100000000000003,-0.619999999999999,-0.699999999999998,0.240000000000003,0.940000000000001,-0.379999999999998,0.520000000000003,0.900000000000001,-1.1,-0.0599999999999987,1.04,-18.964,15.54,AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt:626,1718.550000000,1718.700000000,-0.339999999999998,-0.899999999999998,-1.08,0,AMAR173.4.20220813T010710Z.wav,1718.550000000,1718.700000000,2022/8/13  1:35:48.5500,NA,NA,0,-0.339999999999998,-0.899999999999998,-1.08,-0.339999999999998,-0.319999999999998,0.02,-0.899999999999998,-0.879999999999998,0.02,-1.08,-1.06,0.02,-1.745,30.46,AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt:921,99.180000000,99.240000000,0.320000000000003,-0.0399999999999974,-1.5,0,AMAR173.4.20220813T010710Z.wav,99.180000000,99.240000000,2022/8/13  1:08:49.1800,NA,NA,0,0.320000000000003,-0.0399999999999974,-1.5,0.120000000000003,0.560000000000003,0.44,-0.239999999999998,0.200000000000003,0.44,-1.5,-1.36,0.14,-32.100,15.07,AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt:1191,261.160000000,261.260000000,-0.639999999999998,-0.359999999999998,0.100000000000001,0,AMAR173.4.20220813T010710Z.wav,261.160000000,261.260000000,2022/8/13  1:11:31.1600,NA,NA,0,-0.639999999999998,-0.359999999999998,0.100000000000001,-0.779999999999998,-0.439999999999998,0.34,-0.519999999999998,-0.179999999999997,0.34,-0.179999999999999,0.340000000000002,0.52,-28.636,11.04,AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt:1625,1722.440000000,1722.530000000,-0.599999999999998,0.600000000000003,-1.5,0,AMAR173.4.20220813T010710Z.wav,1722.440000000,1722.530000000,2022/8/13  1:35:52.4400,NA,NA,0,-0.599999999999998,0.600000000000003,-1.5,-0.839999999999998,-0.119999999999997,0.720000000000001,0.400000000000003,0.920000000000003,0.52,-1.5,-1.2,0.3,-22.994,19.59,AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt:1718,450.230000000,450.410000000,-0.799999999999998,0.900000000000003,-0.519999999999999,0,AMAR173.4.20220813T010710Z.wav,450.230000000,450.410000000,2022/8/13  1:14:40.2300,NA,NA,0,-0.799999999999998,0.900000000000003,-0.519999999999999,-0.899999999999998,-0.679999999999998,0.22,0.660000000000003,1.02,0.36,-0.619999999999999,-0.419999999999999,0.2,-9.841,21.31,AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt:1810,177.930000000,178.060000000,-0.839999999999998,0.960000000000004,-0.359999999999999,0,AMAR173.4.20220813T010710Z.wav,177.930000000,178.060000000,2022/8/13  1:10:07.9300,NA,NA,0,-0.839999999999998,0.960000000000004,-0.359999999999999,-0.939999999999998,-0.699999999999998,0.24,0.800000000000003,1.08,0.28,-0.439999999999999,-0.259999999999999,0.18,-20.720,16.48,AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt:1829,1025.980000000,1026.020000000,-0.159999999999997,-0.119999999999997,-0.639999999999999,0,AMAR173.4.20220813T010710Z.wav,1025.980000000,1026.020000000,2022/8/13  1:24:15.9800,NA,NA,0,-0.159999999999997,-0.119999999999997,-0.639999999999999,-1.12,0.800000000000003,1.92,-1.1,0.840000000000003,1.94,-1.34,0.220000000000002,1.56,-30.848,8.26,AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt:1920,831.980000000,832.110000000,-0.899999999999998,0.240000000000003,0.0400000000000014,0,AMAR173.4.20220813T010710Z.wav,831.980000000,832.110000000,2022/8/13  1:21:01.9800,NA,NA,0,-0.899999999999998,0.240000000000003,0.0400000000000014,-0.939999999999998,-0.819999999999998,0.12,0.180000000000003,0.300000000000003,0.12,-0.0399999999999987,0.120000000000001,0.16,-16.454,14.18,AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt:2002,1496.800000000,1497.030000000,-0.419999999999998,0.700000000000003,-0.579999999999999,0,AMAR173.4.20220813T010710Z.wav,1496.800000000,1497.030000000,2022/8/13  1:32:06.8000,NA,NA,0,-0.419999999999998,0.700000000000003,-0.579999999999999,-0.639999999999998,-0.199999999999998,0.44,0.420000000000003,0.920000000000003,0.5,-0.859999999999999,-0.259999999999999,0.600000000000001,-0.758,15.28,AMAR173.4.20220813T010710Z.wav.chan0.Table.1.selections.FS.txt
