run_name,alpha,best_epoch,best_precision,best_recall,best_map50,best_map5095,final_box_loss,final_obj_loss
subset250_yolov5m_alpha0.0_fixed,0.0,99,0.98928,0.83784,0.92441,0.68952,0.016062,0.0099997
subset250_yolov5m_alpha0.1_fixed,0.1,99,1.0,0.85912,0.92743,0.64821,0.017481,0.010586
subset250_yolov5m_alpha0.25_fixed,0.25,96,0.91856,0.91456,0.93712,0.66791,0.017131,0.0098727
subset250_yolov5m_alpha0.5_fixed,0.5,76,0.91552,0.89189,0.94433,0.67496,0.01701,0.011814
subset250_yolov5m_alpha1.0_fixed,1.0,99,1.0,0.82829,0.91894,0.65628,0.017105,0.012059
subset250_yolov5m_alpha2.0_fixed,2.0,98,0.99785,0.83784,0.94462,0.68803,0.015802,0.0095924
subset250_yolov5m_alpha2.0_fixed2,2.0,86,0.99656,0.81081,0.92938,0.64551,0.017497,0.0096303
subset250_yolov5m_alpha4.0_fixed,4.0,88,0.99358,0.83784,0.93026,0.67906,0.015808,0.010334
subset250_yolov5m_alpha6.0_fixed,6.0,86,0.99138,0.78378,0.89335,0.67643,0.016346,0.011579
subset250_yolov5m_alpha8.0_fixed,8.0,94,0.89145,0.88789,0.92976,0.69416,0.016273,0.010103
subset250_yolov5m_alpha9.0_fixed,9.0,96,0.99891,0.81081,0.91124,0.65208,0.016786,0.012291
subset250_yolov5m_alpha10.0_fixed,10.0,78,0.99557,0.83784,0.9414,0.63995,0.016922,0.010969
